from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5949389;418;29234;125;79;29607;140;127;31701;158;127;35198;56;32309;49;30677;31
5785641;5949389;380;26617;124;78;27003;148;130;31907;166;132;32519;56;32520;49;30888;31
5785642;5949389;381;26697;124;78;27003;150;132;32024;166;134;32637;56;31921;49;28513;31
5785643;5949389;386;26990;126;80;29063;162;136;32317;166;138;32930;56;34292;49;34323;31
5787544;5949389;411;28744;122;77;29068;137;120;31211;147;120;34708;55;31883;48;30251;30
5787545;5949389;412;28813;122;77;29068;137;121;31280;147;121;34778;55;32169;48;30538;30
5787546;5949389;415;29039;122;77;29068;140;125;31506;158;125;35003;55;30947;49;27539;30
5787547;5949389;379;26503;124;78;27003;155;138;32406;164;140;33018;55;31338;49;27930;30
5787548;5949389;375;26278;124;78;27003;153;134;32133;162;136;32746;56;31460;49;28052;31
5787549;5949389;377;26412;124;78;27003;155;138;32425;163;140;33038;56;31703;49;28295;31
5787550;5949389;414;28995;126;80;29063;165;129;47840;158;115;41364;56;34090;49;34122;31
5789447;5949389;371;25977;112;71;26306;98;80;32676;114;86;29724;51;29693;44;28062;27
5789448;5949389;371;25974;113;71;26302;98;80;32696;114;86;29745;51;30058;45;28427;27
5789449;5949389;372;26035;113;71;26438;98;81;32756;114;87;29806;52;30484;45;28852;28
5789450;5949389;414;28981;113;71;26438;140;124;31448;158;124;34945;52;30803;45;29171;28
5789451;5949389;415;29019;122;77;29068;140;124;31486;158;124;34983;55;32130;48;30498;30
5789452;5949389;371;25939;122;77;29068;153;132;29000;156;134;29612;55;30846;48;27439;30
5789453;5949389;371;25976;124;78;27003;153;132;29036;156;134;29649;55;31023;49;27615;30
5789454;5949389;372;26063;124;78;27003;153;134;29123;158;141;33157;55;31287;49;27879;30
5789455;5949389;375;26239;126;80;29096;158;136;29299;162;138;29912;56;31508;49;28100;31
5789456;5949389;412;28834;126;80;29096;160;127;47679;159;113;41203;59;34001;52;34032;35
5791353;5949389;376;26337;111;70;26611;101;85;33035;120;91;30084;50;29284;44;27652;27
5791354;5949389;373;26105;112;71;26148;98;82;32803;120;88;29852;52;29875;45;28243;28
5791355;5949389;366;25628;112;71;26061;93;77;32464;114;83;29513;51;30055;45;28424;27
5791356;5949389;367;25690;112;71;26009;98;82;32812;120;88;29861;52;30681;46;29049;28
5791357;5949389;368;25777;113;71;26438;101;84;32880;120;90;29930;52;30795;46;29163;28
5791358;5949389;369;25828;113;71;26438;151;130;28888;154;132;29501;52;30341;46;26933;28
5791359;5949389;366;25630;113;71;26438;146;127;28691;145;127;32188;55;30664;48;27256;30
5791360;5949389;367;25685;124;78;27003;148;128;28745;148;130;29358;55;31032;48;27624;30
5791361;5949389;372;26038;126;80;29096;153;133;29098;156;135;29711;55;31387;48;27979;30
5791362;5949389;376;26349;126;80;29096;158;138;29410;163;140;30022;56;31695;49;28287;31
5791363;5949389;412;28829;126;80;29096;160;127;47674;159;113;41198;59;33896;52;33928;35
5793258;5949389;382;26723;115;73;27106;108;90;33421;125;96;30470;52;30548;46;28916;28
5793259;5949389;377;26423;115;73;27049;103;86;33121;120;92;30170;52;30388;45;28756;28
5793260;5949389;378;26457;113;72;26636;103;87;33155;120;93;30204;52;30352;45;28720;28
5793261;5949389;364;25501;111;70;25796;98;80;32600;114;86;29649;52;30133;45;28501;28
5793262;5949389;363;25396;111;70;25838;98;80;32598;114;86;29647;52;30558;46;28926;28
5793263;5949389;363;25444;111;70;25838;106;85;32181;120;91;29230;52;31663;46;30032;28
5793264;5949389;362;25375;110;70;25550;146;124;28435;142;124;31932;55;30285;48;26877;30
5793265;5949389;363;25416;110;70;25488;146;124;28476;144;124;31973;55;30618;48;27210;30
5793266;5949389;363;25424;115;73;25533;146;125;28485;144;125;31982;55;30815;48;27407;30
5793267;5949389;374;26199;115;73;25533;155;136;29260;161;138;29872;55;31610;48;28202;30
5793268;5949389;380;26597;126;80;29096;165;148;30937;166;143;30270;56;31836;49;28428;31
5793269;5949389;410;28694;126;80;28615;173;136;48355;158;123;41879;58;30648;52;27240;36
5793270;5949389;407;28514;126;80;28615;167;134;48175;158;120;41699;58;34005;52;34127;36
5795164;5949389;383;26798;115;73;27049;111;91;33496;125;97;30545;52;30672;46;29040;28
5795165;5949389;384;26879;115;73;27049;114;93;33578;125;99;30627;52;32448;46;30817;28
5795166;5949389;383;26809;110;70;25525;111;92;33508;125;98;30557;55;32298;49;30666;30
5795167;5949389;360;25175;111;70;25762;98;81;31899;120;87;28948;52;30683;46;29052;28
5795168;5949389;360;25176;110;70;25550;98;81;31900;120;87;28948;54;31245;47;29613;29
5795169;5949389;361;25257;110;70;25550;98;83;31994;120;89;29043;54;31467;47;29836;29
5795170;5949389;359;25105;110;70;25488;146;120;28166;139;125;29446;54;30024;47;26616;29
5795171;5949389;357;25024;110;69;25390;146;119;28084;139;124;29364;55;30325;48;26917;30
5795172;5949389;362;25359;115;73;25533;146;124;28419;142;124;31916;55;30767;48;27359;30
5795173;5949389;366;25587;115;73;25533;146;127;28648;144;127;32145;55;30858;48;27450;30
5795174;5949389;363;25397;115;73;25533;146;124;28457;142;124;31954;55;30492;48;27084;30
5795175;5949389;362;25334;115;73;25533;146;123;28394;142;123;31892;55;30629;48;27221;30
5795176;5949389;408;28550;113;72;25343;167;134;48211;158;121;41735;56;30153;49;26745;31
5797069;5949389;368;25756;108;68;25920;126;79;26356;135;119;27801;-1;-1;-1;-1;-1
5797070;5949389;386;26996;108;68;25920;114;94;33694;125;100;30744;53;30950;47;29319;29
5797071;5949389;387;27113;110;70;25525;114;96;33811;125;102;30860;55;32350;49;30719;30
5797072;5949389;361;25266;110;70;25525;98;82;31990;120;88;29039;55;32067;48;30435;30
5797073;5949389;357;24982;110;70;25525;98;78;31705;114;84;28754;53;32152;46;30520;28
5797074;5949389;355;24864;109;69;25280;93;77;31601;114;83;28650;53;31016;46;29384;28
