from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5972102;458;32040;133;84;32240;136;119;33242;158;127;33242;65;33246;57;33255;34
5785641;5972102;420;29424;132;84;29635;143;122;33448;164;125;33448;66;33457;58;33466;34
5785642;5972102;421;29503;132;84;29635;147;124;33566;164;127;33566;66;32859;58;31091;34
5785643;5972102;426;29796;141;89;31695;158;128;33858;164;131;33858;67;35415;58;38226;34
5787544;5972102;451;31551;130;83;31701;135;112;32752;146;120;32752;64;32821;57;32829;33
5787545;5972102;452;31620;130;83;31701;135;113;32822;146;121;32822;64;33107;57;33115;33
5787546;5972102;455;31845;130;83;31701;136;116;33047;158;124;33047;66;31885;57;30117;34
5787547;5972102;419;29310;132;84;29635;152;129;33947;163;132;33947;66;32276;57;30508;34
5787548;5972102;415;29084;132;84;29635;148;125;33674;160;128;33674;66;32397;58;30629;34
5787549;5972102;417;29218;132;84;29635;152;130;33966;162;133;33966;67;32640;58;30873;34
5787550;5972102;454;31801;141;89;31695;160;120;44445;165;123;43375;67;35214;58;38025;34
5789447;5972102;411;28784;121;77;28938;96;73;29986;110;81;29986;60;30631;53;30639;30
5789448;5972102;411;28781;121;77;28935;96;73;30006;110;81;30006;60;30996;53;31004;30
5789449;5972102;412;28841;121;77;29071;96;74;30067;110;82;30067;61;31421;54;31430;31
5789450;5972102;454;31787;121;77;29071;136;116;32989;158;124;32989;61;31740;54;31749;31
5789451;5972102;455;31825;130;83;31701;136;116;33027;158;124;33027;64;33068;57;33076;33
5789452;5972102;411;28746;130;83;31701;148;124;30541;153;127;30541;66;31784;57;30016;34
5789453;5972102;411;28782;132;84;29635;148;124;30577;153;127;30577;66;31961;57;30193;34
5789454;5972102;412;28869;132;84;29635;148;125;30664;155;132;34698;66;32225;57;30457;34
5789455;5972102;415;29045;141;89;31728;153;128;30840;160;131;30840;67;32446;58;30678;34
5789456;5972102;452;31640;141;89;31728;154;118;44284;166;120;43214;69;35124;61;37935;39
5791353;5972102;416;29143;119;76;29244;98;78;30345;116;86;30345;59;30221;52;30230;30
5791354;5972102;413;28911;121;76;28781;96;74;30113;116;82;30113;61;30812;54;30821;31
5791355;5972102;406;28434;120;76;28694;90;70;29774;110;78;29774;61;30993;53;31001;31
5791356;5972102;407;28496;120;76;28642;96;75;30122;116;83;30122;62;31618;54;31627;31
5791357;5972102;408;28584;121;77;29071;98;77;30191;116;85;30191;61;31732;54;31741;31
5791358;5972102;409;28634;121;77;29071;144;122;30430;150;125;30430;61;31279;54;29511;31
5791359;5972102;406;28437;121;77;29071;138;119;30232;142;126;34266;66;31602;57;29834;34
5791360;5972102;407;28491;132;84;29635;141;120;30286;145;123;30286;66;31970;57;30202;34
5791361;5972102;412;28844;141;89;31728;148;125;30640;153;128;30640;66;32324;57;30556;34
5791362;5972102;417;29156;141;89;31728;153;129;30951;162;132;30951;66;32632;58;30864;34
5791363;5972102;452;31635;141;89;31728;154;118;44280;166;120;43209;69;35020;61;37831;39
5793258;5972102;422;29529;123;78;29739;108;83;30731;122;91;30731;62;31485;54;31494;32
5793259;5972102;418;29229;123;78;29682;102;79;30431;116;87;30431;61;31326;54;31334;31
5793260;5972102;418;29264;122;77;29268;102;79;30466;116;87;30466;61;31289;54;31298;31
5793261;5972102;404;28307;120;76;28429;96;73;29910;110;81;29910;61;31070;54;31079;31
5793262;5972102;403;28203;120;76;28471;96;73;29908;110;81;29908;62;31495;54;31504;31
5793263;5972102;404;28250;120;76;28471;103;78;29491;116;86;29491;62;32601;54;32609;31
5793264;5972102;403;28181;119;75;28182;138;116;29976;138;122;34010;65;31223;57;29455;33
5793265;5972102;403;28222;119;75;28121;138;116;30017;140;123;34051;65;31555;57;29787;33
5793266;5972102;403;28231;124;78;28165;138;116;30026;140;123;34060;65;31752;57;29984;33
5793267;5972102;414;29005;124;78;28165;152;127;30801;158;130;30801;65;32547;57;30779;33
5793268;5972102;420;29403;141;89;31728;162;141;31198;164;136;31198;66;32774;58;31006;34
5793269;5972102;450;31501;139;88;31248;168;128;44961;165;130;43891;69;31586;61;29818;39
5793270;5972102;447;31320;139;88;31248;162;125;44780;165;127;43710;69;34475;61;32707;39
5795164;5972102;423;29604;123;78;29682;109;84;30806;122;92;30806;61;31609;54;31618;32
5795165;5972102;424;29686;123;78;29682;110;86;30888;122;94;30888;61;33386;54;33394;32
5795166;5972102;423;29616;119;75;28158;109;85;30818;122;93;30818;65;33235;57;33244;33
5795167;5972102;400;27982;119;76;28395;96;74;29209;116;82;29209;62;31621;54;31629;31
5795168;5972102;400;27982;119;75;28182;96;74;29210;116;82;29210;63;32182;56;32191;32
5795169;5972102;401;28063;119;75;28182;96;75;29304;116;83;29304;63;32405;56;32413;32
5795170;5972102;399;27912;119;75;28121;138;112;29707;136;118;33740;63;30961;55;29193;32
5795171;5972102;398;27830;118;75;28023;138;111;29626;136;117;33659;65;31262;57;29495;33
5795172;5972102;402;28165;124;78;28165;138;115;29960;138;122;33994;65;31705;57;29937;33
5795173;5972102;406;28394;124;78;28165;138;119;30189;140;125;34222;65;31796;57;30028;33
5795174;5972102;403;28203;124;78;28165;138;116;29998;138;123;34032;66;31430;57;29662;34
5795175;5972102;402;28140;124;78;28165;138;115;29936;138;122;33969;66;31566;57;29798;34
5795176;5972102;448;31356;122;77;27976;162;125;44817;165;128;43746;66;31090;58;29322;34
5797069;5972102;408;28563;117;74;28553;128;91;28973;134;121;32783;-1;-1;-1;-1;-1
5797070;5972102;426;29803;117;74;28553;110;87;31005;122;95;31005;62;31888;55;31896;32
5797071;5972102;427;29920;119;75;28158;110;89;31122;122;97;31122;65;33288;57;33296;33
5797072;5972102;401;28073;119;75;28158;96;75;29300;116;83;29300;64;33004;57;33013;33
5797073;5972102;397;27788;119;75;28158;96;71;29015;110;79;29015;62;33089;55;33098;32
5797074;5972102;395;27670;118;75;27913;90;70;28911;110;78;28911;62;31954;55;31962;32
5797075;5972102;398;27879;119;75;28121;96;73;29120;110;81;29120;63;32286;55;32295;32
5797076;5972102;394;27595;118;75;28023;133;107;29390;134;114;33424;64;30908;56;29141;33
5797077;5972102;396;27721;118;75;28023;133;109;29516;135;116;33550;65;31341;57;29573;33
5797078;5972102;401;28055;124;78;28165;138;114;29850;136;121;33884;65;31878;57;30110;33
5797079;5972102;399;27962;124;78;28165;138;112;29757;136;119;33791;65;31715;57;29947;33
5797080;5972102;400;28007;124;78;28165;138;113;29802;136;120;33836;66;30925;57;29157;34
5797081;5972102;400;27993;124;78;28165;138;113;29788;136;120;33822;66;31545;57;29777;34
5797082;5972102;397;27787;122;77;27976;142;124;44680;145;126;43610;66;31077;58;29309;34
5798974;5972102;388;27190;112;71;27122;116;71;27600;116;100;28496;55;28031;49;28040;27
5798975;5972102;431;30163;126;80;30375;114;92;31365;134;100;31365;63;32235;55;32243;33
5798976;5972102;431;30157;126;80;30375;114;92;31359;134;100;31359;62;32123;55;32131;32
5798977;5972102;431;30164;119;75;28158;114;92;31366;134;100;31366;64;33328;56;33336;33
5798978;5972102;394;27603;117;74;27582;96;73;28839;110;81;28839;64;32799;56;32808;33
5798979;5972102;392;27426;116;74;27472;93;70;28662;110;78;28662;65;33157;57;33166;33
5798980;5972102;392;27426;117;74;27591;93;70;28662;110;78;28662;63;32317;55;32326;32
5798981;5972102;396;27698;118;75;27891;96;74;28934;116;82;28934;64;32705;56;32713;33
5798982;5972102;392;27427;118;75;28023;128;105;29222;130;113;29222;64;30769;56;29001;33
5798983;5972102;390;27301;118;75;28023;128;103;29096;128;110;33130;64;30709;56;28941;32
5798984;5972102;390;27294;121;77;27433;126;103;29090;128;110;33123;64;30701;56;28933;32
5798985;5972102;395;27659;121;77;27433;133;108;29454;134;115;33488;65;30593;56;28825;33
5798986;5972102;393;27521;124;78;28165;128;106;29316;133;113;33350;65;30859;56;29091;33
5798987;5972102;397;27777;124;78;28165;133;110;29572;136;117;33606;66;31318;57;29550;34
5798988;5972102;391;27371;119;76;27442;136;123;28812;142;127;43676;65;30553;57;28785;34
5800879;5972102;381;26694;111;70;26784;100;72;26515;108;93;28000;56;27752;49;27761;28
5800880;5972102;385;26972;112;71;27118;106;76;26794;113;97;28279;55;28028;49;28036;27
5800881;5972102;434;30367;112;71;27118;116;95;31570;134;103;31570;63;27656;55;27664;33
5800882;5972102;393;27515;126;80;30375;110;92;29608;127;100;29608;65;34830;57;34838;33
