from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5960104;420;29410;123;78;29651;136;124;31974;154;123;31074;51;29321;46;29358;29
5785641;5960104;383;26794;122;77;27046;145;127;32180;159;120;31279;54;29532;48;29569;29
5785642;5960104;384;26873;122;77;27046;147;128;32298;159;121;31397;54;28933;48;27194;29
5785643;5960104;388;27166;130;83;29106;154;132;32590;159;125;31690;54;31490;48;29751;29
5787544;5960104;413;28920;120;76;29111;133;117;31485;143;116;30584;51;28895;46;28932;28
5787545;5960104;414;28990;120;76;29111;133;118;31554;143;117;30653;51;29181;46;29219;28
5787546;5960104;417;29215;120;76;29111;136;121;31779;154;120;30879;53;27959;48;26220;29
5787547;5960104;381;26679;122;77;27046;152;134;32679;159;127;31778;53;28350;48;26611;29
5787548;5960104;378;26454;122;77;27046;150;130;32406;156;123;31506;53;28472;48;26733;29
5787549;5960104;380;26588;122;77;27046;152;134;32699;159;127;31798;54;28715;48;26976;29
5787550;5960104;417;29171;130;83;29106;165;125;43048;168;125;43636;54;31288;48;29549;29
5789447;5960104;374;26153;110;70;26349;92;73;27817;111;76;27817;47;26705;42;26743;25
5789448;5960104;374;26150;110;70;26346;92;73;27838;111;76;27838;47;27070;42;27107;25
5789449;5960104;374;26211;111;70;26482;92;74;27898;111;77;27898;48;27496;43;27533;26
5789450;5960104;417;29157;111;70;26482;136;120;31721;154;119;30820;48;27814;43;27852;26
5789451;5960104;417;29195;120;76;29111;136;121;31759;154;120;30859;51;29142;46;29179;28
5789452;5960104;373;26116;120;76;29111;150;128;29273;151;121;28373;53;27858;47;26119;29
5789453;5960104;374;26152;122;77;27046;150;129;29309;151;122;28409;53;28035;48;26296;29
5789454;5960104;375;26239;122;77;27046;150;130;29396;152;127;31788;53;28299;48;26560;29
5789455;5960104;377;26415;130;83;29139;155;132;29572;156;125;28672;54;28520;48;26781;29
5789456;5960104;414;29010;130;83;29139;158;122;42887;168;122;43475;60;31199;54;29460;35
5791353;5960104;379;26513;109;69;26655;96;78;28177;116;81;28177;46;26296;41;26333;25
5791354;5960104;375;26281;110;70;26192;92;75;27945;116;78;27945;48;26887;43;26924;26
5791355;5960104;369;25804;110;69;26104;86;70;27606;111;73;27606;47;27067;42;27105;26
5791356;5960104;370;25866;109;69;26053;92;75;27954;116;78;27954;48;27692;43;27730;26
5791357;5960104;371;25953;111;70;26482;96;78;28022;116;81;28022;48;27806;43;27844;26
5791358;5960104;371;26004;111;70;26482;148;126;29162;148;119;28261;48;27353;43;25614;26
5791359;5960104;369;25807;111;70;26482;142;124;28964;141;123;28064;53;27676;47;25937;29
5791360;5960104;369;25861;122;77;27046;145;124;29018;144;117;28118;53;28044;47;26305;29
5791361;5960104;374;26214;130;83;29139;150;129;29372;151;122;28471;53;28398;47;26660;29
5791362;5960104;379;26525;130;83;29139;155;134;29683;159;127;28782;53;28707;48;26968;29
5791363;5960104;414;29005;130;83;29139;158;122;42882;168;122;43470;60;31094;54;29355;35
5793258;5960104;384;26899;113;71;27149;102;84;28563;122;87;28563;48;27560;43;27597;27
5793259;5960104;380;26599;112;71;27093;97;80;28263;116;83;28263;48;27400;43;27437;26
5793260;5960104;380;26633;111;70;26679;97;80;28297;116;83;28297;48;27364;43;27401;26
5793261;5960104;367;25677;109;69;25839;92;74;27742;111;77;27742;48;27145;43;27182;26
5793262;5960104;365;25572;109;69;25882;92;74;27740;111;77;27740;48;27569;43;27607;26
