from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5934950;472;33045;134;85;31167;147;134;44146;163;132;36975;56;35153;50;35268;32
5785641;5934950;435;30428;131;83;28562;155;137;44352;171;135;37181;56;35364;50;35479;32
5785642;5934950;436;30508;131;83;28562;158;138;44470;171;137;37299;56;34765;50;33104;32
5785643;5934950;440;30800;126;80;29259;168;143;44762;171;141;37592;56;36858;50;36975;32
5787544;5934950;465;32555;131;83;30628;146;127;43656;151;124;36486;55;34727;49;34843;31
5787545;5934950;466;32624;131;83;30628;146;128;43726;151;125;36555;55;35014;49;35129;31
5787546;5934950;469;32850;131;83;30628;147;131;43951;163;129;36781;56;33792;49;32130;32
5787547;5934950;433;30314;131;83;28562;163;144;44851;169;142;37680;56;34183;49;32522;32
5787548;5934950;430;30089;131;83;28562;160;140;44578;167;138;37408;56;34304;49;32643;32
5787549;5934950;432;30223;131;83;28562;163;144;44870;167;143;37700;56;34547;50;32886;32
5787550;5934950;422;29521;126;80;29259;169;132;36734;163;120;43141;56;36657;50;36773;32
5789447;5934950;426;29788;120;76;27865;107;87;40890;114;85;33719;51;32538;46;32653;28
5789448;5934950;426;29785;120;76;27862;107;88;40910;114;85;33739;51;32902;46;33018;28
5789449;5934950;426;29846;120;76;27998;107;89;40971;114;86;33800;52;33328;47;33444;29
5789450;5934950;468;32792;120;76;27998;147;130;43893;163;129;36722;52;33647;47;33762;29
5789451;5934950;469;32830;131;83;30628;147;131;43931;163;129;36760;55;34974;49;35090;31
5789452;5934950;425;29750;131;83;30628;160;138;41445;161;137;34274;55;33691;49;32030;32
5789453;5934950;426;29787;131;83;28562;160;139;41481;161;137;34311;56;33868;49;32207;32
5789454;5934950;427;29874;131;83;28562;160;140;41568;163;147;45602;56;34132;49;32470;32
5789455;5934950;429;30050;126;80;29292;164;143;41744;167;141;34574;56;34352;50;32691;32
5789456;5934950;419;29360;126;80;29292;163;130;36573;164;118;42980;58;36567;52;36684;36
5791353;5934950;431;30148;124;78;28915;109;92;41249;120;90;34079;50;32128;45;32243;28
5791354;5934950;427;29916;119;75;27708;107;89;41017;120;86;33847;52;32719;47;32834;29
5791355;5934950;421;29439;119;75;27621;101;84;40678;114;82;33508;51;32900;46;33015;29
5791356;5934950;421;29501;119;75;27569;107;89;41026;120;87;33856;52;33525;47;33640;29
5791357;5934950;423;29588;120;76;27998;109;92;41095;120;89;33924;52;33639;47;33754;29
5791358;5934950;423;29639;120;76;27998;157;137;41334;159;135;34163;52;33185;47;31524;29
5791359;5934950;421;29441;120;76;27998;149;134;41136;149;132;33965;55;33509;49;31847;32
5791360;5934950;421;29496;131;83;28562;153;135;41190;153;133;34020;55;33877;49;32216;32
5791361;5934950;426;29849;126;80;29292;160;140;41544;161;138;34373;55;34231;49;32570;32
5791362;5934950;431;30160;126;80;29292;164;144;41855;167;142;34684;56;34539;49;32878;32
5791363;5934950;419;29355;126;80;29292;163;130;36568;164;118;42975;58;36463;52;36579;36
5793258;5934950;436;30534;122;77;28665;119;98;41635;126;95;34465;52;33392;47;33507;30
5793259;5934950;432;30234;122;77;28609;113;94;41335;120;91;34164;52;33232;47;33348;29
5793260;5934950;432;30268;121;76;28195;113;94;41370;120;92;34199;52;33196;47;33311;29
5793261;5934950;419;29312;118;75;27355;107;88;40814;114;85;33644;52;32977;47;33092;29
5793262;5934950;417;29207;118;75;27398;107;88;40812;114;85;33642;52;33402;47;33517;29
